feature_a,feature_b,correlation,abs_correlation
pclass,fare,-0.5481932852366449,0.5481932852366449
sibsp,parch,0.4145416380997264,0.4145416380997264
pclass,age,-0.3365121763862815,0.3365121763862815
survived,pclass,-0.33554885935682505,0.33554885935682505
survived,fare,0.2552904613046992,0.2552904613046992
age,sibsp,-0.23254340935122556,0.23254340935122556
parch,fare,0.21753204448353225,0.21753204448353225
age,parch,-0.1714850795047853,0.1714850795047853
sibsp,fare,0.16088685492565172,0.16088685492565172
age,fare,0.09370714330015849,0.09370714330015849
survived,parch,0.08315078366620224,0.08315078366620224
pclass,sibsp,0.0816556213479137,0.0816556213479137
survived,age,-0.0698217076789191,0.0698217076789191
survived,sibsp,-0.03403999879674893,0.03403999879674893
pclass,parch,0.01682449383776425,0.01682449383776425
